Date,Open,High,Low,Close,Adj Close,Volume
2023-06-21,52.250000,52.250000,49.990002,50.000000,50.000000,136700
2023-06-22,49.959999,49.959999,47.910000,49.759998,49.759998,226600
2023-06-23,49.130001,49.419998,47.770000,48.189999,48.189999,359000
2023-06-26,48.080002,48.950001,47.750000,47.990002,47.990002,195200
2023-06-27,47.990002,49.740002,47.250000,49.240002,49.240002,202500
2023-06-28,48.889999,49.980000,48.759998,49.490002,49.490002,204200
2023-06-29,49.580002,50.570000,49.130001,50.290001,50.290001,127900
2023-06-30,51.150002,52.400002,50.610001,51.790001,51.790001,260900
2023-07-03,51.880001,53.610001,50.470001,51.009998,51.009998,336000
2023-07-05,51.009998,53.360001,50.880001,52.090000,52.090000,549100
2023-07-06,51.480000,52.400002,51.240002,51.360001,51.360001,292900
2023-07-07,51.610001,54.189999,51.080002,53.599998,53.599998,307400
2023-07-10,53.250000,55.529999,53.250000,55.119999,55.119999,305500
2023-07-11,55.220001,55.560001,54.669998,55.110001,55.110001,218500
2023-07-12,56.000000,56.349998,55.180000,55.840000,55.840000,302700
2023-07-13,56.660000,59.090000,56.490002,58.750000,58.750000,325900
2023-07-14,58.700001,59.169998,56.500000,56.509998,56.509998,292700
2023-07-17,57.200001,59.709999,56.790001,58.930000,58.930000,337200
2023-07-18,59.470001,60.480000,58.889999,58.910000,58.910000,226000
2023-07-19,59.389999,61.130001,59.000000,60.180000,60.180000,342900
2023-07-20,59.070000,59.430000,54.689999,55.290001,55.290001,283000
2023-07-21,55.919998,55.990002,53.680000,53.860001,53.860001,231100
2023-07-24,54.099998,54.619999,53.570000,54.560001,54.560001,196800
2023-07-25,54.720001,55.310001,53.930000,54.279999,54.279999,324200
2023-07-26,53.639999,54.730000,53.180000,53.820000,53.820000,222700
2023-07-27,54.459999,54.590000,50.110001,50.250000,50.250000,352000
2023-07-28,51.130001,52.259998,50.549999,51.830002,51.830002,228700
2023-07-31,52.130001,53.400002,52.130001,52.459999,52.459999,159600
2023-08-01,52.330002,52.540001,50.849998,51.330002,51.330002,139000
2023-08-02,50.259998,50.320000,48.599998,49.200001,49.200001,185400
2023-08-03,49.070000,49.560001,47.959999,48.869999,48.869999,396000
2023-08-04,49.540001,52.360001,49.419998,51.439999,51.439999,473700
2023-08-07,51.709999,52.049999,49.540001,50.770000,50.770000,179000
2023-08-08,49.930000,49.939999,47.750000,48.750000,48.750000,194000
2023-08-09,48.799999,49.270000,48.250000,48.799999,48.799999,105200
2023-08-10,49.150002,50.410000,48.599998,49.259998,49.259998,124900
2023-08-11,48.930000,49.459999,48.360001,48.570000,48.570000,101600
2023-08-14,48.240002,48.930000,47.509998,48.910000,48.910000,113300
2023-08-15,48.130001,48.400002,47.000000,47.049999,47.049999,184400
2023-08-16,47.189999,48.040001,46.900002,46.939999,46.939999,149800
2023-08-17,47.150002,47.189999,45.639999,45.650002,45.650002,123600
2023-08-18,45.180000,45.919998,45.000000,45.450001,45.450001,170400
2023-08-21,45.619999,46.259998,45.619999,46.000000,46.000000,219400
2023-08-22,46.459999,47.779999,45.599998,47.450001,47.450001,194400
2023-08-23,47.540001,50.849998,47.540001,49.630001,49.630001,512100
2023-08-24,49.970001,50.439999,47.630001,47.700001,47.700001,129200
2023-08-25,48.340000,48.349998,46.700001,47.939999,47.939999,130100
2023-08-28,48.320000,48.889999,47.650002,47.650002,47.650002,130000
2023-08-29,47.650002,48.910000,47.349998,48.459999,48.459999,91300
2023-08-30,48.520000,48.520000,47.410000,47.779999,47.779999,171400
2023-08-31,47.840000,49.639999,47.810001,48.900002,48.900002,230600
2023-09-01,49.400002,49.830002,49.000000,49.450001,49.450001,154000
2023-09-05,48.570000,51.889999,48.270000,51.230000,51.230000,271900
2023-09-06,51.320000,52.439999,51.029999,51.930000,51.930000,149900
2023-09-07,51.430000,52.060001,50.099998,51.810001,51.810001,201500
2023-09-08,51.730000,52.910000,51.570000,52.240002,52.240002,221700
2023-09-11,52.470001,52.470001,51.360001,51.389999,51.389999,266700
2023-09-12,50.509998,51.740002,50.299999,51.250000,51.250000,211100
2023-09-13,51.180000,51.610001,50.270000,51.049999,51.049999,147400
2023-09-14,52.220001,52.970001,51.810001,52.830002,52.830002,182300
2023-09-15,52.939999,53.430000,51.849998,52.180000,52.180000,432800
2023-09-18,52.270000,52.810001,50.009998,51.000000,51.000000,637300
2023-09-19,47.470001,57.709999,47.389999,56.540001,56.540001,1492700
2023-09-20,55.689999,56.000000,54.220001,54.779999,54.779999,754700
2023-09-21,53.990002,55.200001,52.590000,54.509998,54.509998,471500
2023-09-22,54.740002,56.430000,54.150002,55.869999,55.869999,247100
2023-09-25,56.330002,59.250000,55.380001,58.520000,58.520000,458000
2023-09-26,58.419998,59.060001,57.669998,57.970001,57.970001,447100
2023-09-27,57.950001,59.790001,57.599998,58.790001,58.790001,498100
2023-09-28,58.299999,58.320000,56.660000,57.880001,57.880001,336600
2023-09-29,58.349998,59.529999,57.160000,57.349998,57.349998,216200
2023-10-02,56.980000,58.119999,56.599998,57.290001,57.290001,179100
2023-10-03,56.529999,57.910000,55.459999,56.000000,56.000000,393600
2023-10-04,56.000000,56.900002,55.110001,55.570000,55.570000,189900
2023-10-05,55.160000,56.310001,54.189999,55.820000,55.820000,235600
2023-10-06,55.279999,58.340000,55.090000,58.340000,58.340000,400300
2023-10-09,57.849998,58.840000,57.250000,58.770000,58.770000,162200
2023-10-10,58.930000,61.529999,58.930000,60.380001,60.380001,604600
2023-10-11,60.299999,61.130001,59.139999,59.299999,59.299999,181500
2023-10-12,58.980000,59.990002,56.680000,57.250000,57.250000,563200
2023-10-13,57.360001,57.529999,56.540001,57.230000,57.230000,189700
2023-10-16,57.380001,59.150002,57.290001,58.610001,58.610001,174200
2023-10-17,58.000000,59.430000,58.000000,58.560001,58.560001,331900
2023-10-18,58.049999,59.900002,57.400002,58.200001,58.200001,797900
2023-10-19,57.980000,58.380001,56.779999,58.049999,58.049999,385400
2023-10-20,57.689999,58.139999,53.779999,54.630001,54.630001,345800
2023-10-23,53.959999,55.529999,53.770000,54.400002,54.400002,229800
2023-10-24,54.919998,55.869999,53.689999,54.080002,54.080002,231200
2023-10-25,53.590000,53.590000,49.810001,49.830002,49.830002,435900
2023-10-26,49.619999,50.500000,48.599998,48.700001,48.700001,566200
2023-10-27,49.360001,49.570000,48.230000,48.470001,48.470001,508300
2023-10-30,49.520000,50.310001,48.810001,49.529999,49.529999,304600
2023-10-31,49.380001,51.070000,49.380001,50.160000,50.160000,329100
2023-11-01,49.639999,49.959999,47.790001,48.959999,48.959999,355000
2023-11-02,49.750000,52.680000,49.700001,51.900002,51.900002,672900
2023-11-03,53.200001,53.840000,52.279999,52.990002,52.990002,368000
2023-11-06,53.150002,55.459999,52.290001,55.450001,55.450001,289900
2023-11-07,55.400002,57.980000,55.400002,56.000000,56.000000,312200
2023-11-08,55.860001,56.450001,54.680000,55.070000,55.070000,142300
2023-11-09,55.330002,56.200001,52.990002,53.330002,53.330002,282100
2023-11-10,53.849998,54.580002,52.439999,54.070000,54.070000,145800
2023-11-13,53.470001,53.930000,52.560001,53.410000,53.410000,179100
2023-11-14,54.959999,58.770000,54.959999,56.959999,56.959999,301900
2023-11-15,57.799999,60.759998,57.799999,59.860001,59.860001,365500
2023-11-16,59.630001,60.439999,57.680000,60.400002,60.400002,321900
2023-11-17,61.000000,65.230003,60.619999,63.029999,63.029999,614100
2023-11-20,63.860001,68.050003,63.110001,66.459999,66.459999,505500
2023-11-21,65.760002,66.459999,63.639999,64.220001,64.220001,207300
2023-11-22,65.160004,66.760002,64.330002,65.639999,65.639999,291000
2023-11-24,65.629997,65.870003,64.339996,64.910004,64.910004,107100
2023-11-27,64.750000,66.330002,64.199997,65.980003,65.980003,226800
2023-11-28,65.900002,67.849998,65.580002,66.879997,66.879997,366300
2023-11-29,67.379997,69.000000,67.050003,67.790001,67.790001,233000
2023-11-30,67.970001,68.430000,64.800003,65.239998,65.239998,203600
2023-12-01,65.169998,66.919998,62.889999,66.360001,66.360001,318000
2023-12-04,65.449997,66.000000,63.509998,64.400002,64.400002,168800
2023-12-05,63.900002,65.150002,63.029999,63.139999,63.139999,113800
2023-12-06,63.380001,66.580002,63.380001,66.410004,66.410004,368500
2023-12-07,66.379997,68.000000,65.500000,67.989998,67.989998,269700
2023-12-08,67.589996,71.669998,67.430000,69.540001,69.540001,724300
2023-12-11,69.330002,69.430000,66.510002,67.199997,67.199997,273400
2023-12-12,67.290001,69.070000,66.070000,68.779999,68.779999,295400
2023-12-13,68.989998,71.570000,67.769997,69.959999,69.959999,266100
2023-12-14,70.339996,72.430000,69.790001,71.239998,71.239998,409500
2023-12-15,70.900002,71.309998,68.010002,70.150002,70.150002,439900
2023-12-18,70.150002,71.940002,69.300003,71.330002,71.330002,294900
2023-12-19,71.599998,74.620003,71.000000,74.410004,74.410004,406000
2023-12-20,74.000000,75.639999,72.320000,72.790001,72.790001,564000
2023-12-21,73.910004,76.139999,73.089996,75.930000,75.930000,334300
2023-12-22,75.000000,78.019997,74.669998,76.589996,76.589996,532000
2023-12-26,76.760002,78.669998,75.739998,78.669998,78.669998,195000
2023-12-27,79.010002,79.660004,78.139999,79.540001,79.540001,236400
2023-12-28,79.410004,79.589996,78.029999,79.059998,79.059998,426800
2023-12-29,79.000000,79.860001,77.639999,77.849998,77.849998,229800
2024-01-02,77.150002,77.430000,75.139999,76.139999,76.139999,194100
2024-01-03,74.120003,75.500000,73.029999,73.320000,73.320000,178700
2024-01-04,73.540001,74.279999,72.690002,73.430000,73.430000,120500
